question_id,question_type,question_number,group,shared_stem,question,option_A,option_B,option_C,option_D,option_E,answer,question_source,answer_source,explanation
A1-1,A1,1,,,大量咯血是指,24 小时略血量大于200ml,24小时咯血量大于300ml,24小时咯血量大于400ml,24小时咯血量大于500ml,24 小时咯血量大于600ml,D,P1,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",略血指喉以下呼吸道或肺组织出血经口咯出。根据咯血量多少，临床分为 痰中带血、少量咯血（＜100ml/d）、中等量咯血（100~500ml/d）和大量咯血（>500ml/d 或1次300~500ml）。
A1-2,A1,2,,,下列选项中最可能出现“三凹征”的是,吸气性呼吸困难,呼气性呼吸困难,混合性呼吸困难,咳嗽,咳痰,A,P1,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",吸气性呼吸困难特点为吸气困难，伴干咳，重者可出现吸气时胸骨上窝、锁骨上窝和肋间隙明显凹陷，即“三凹征”，主要见于急性喉炎、喉头水肿、喉癌、喉与气 管异物、气管肿瘤、气管外压性狭窄等。
A1-3,A1,3,,,下列有关呼吸系统结构和功能的描述，说法错误的是,胸膜腔内通常是正压,上呼吸道主要起对吸入气体加温、湿化、机械拦阻的作用,肺由肺循环和支气管循环进行双重血流供应,喉梗阻时进行环甲膜穿刺的部位是环状软骨之上,胸膜腔内负压是维持肺的扩张状态，同时也是促进胸腔内静脉血和淋巴液回流的重要 因素,A,P1,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",胸膜腔内通常是负压。
A1-4,A1,4,,,为判断呼吸衰竭患者代谢紊乱情况，首选的辅助检查是,血常规,尿常规,血气分析 翠47,肺功能测定,血细胞涂片,C,P1,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",血气分析可了解血液酸碱度、氧分压、二氧化碳分压、碱剩余等情况，有 助于判断呼吸衰竭患者代谢紊乱情况。而肺功能测定只能了解患者呼吸功能。
A1-5,A1,5,,,呼吸衰竭患者动脉血氧分压小于,30mmllg,40mmHlg,50mmlg,60mmlig,70mmHg,D,P1,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",呼吸衰竭患者动脉血氧分压小于60mmlg。
A1-6,A1,6,,,上呼吸道由,气管、支气管、细支气管和肺实质构成,口腔、气管、喉构成 —3-,,,,D,P1,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",上呼吸道由鼻、咽、喉构成。 7.c【解析】呼吸衰竭的诊断标准是在海平面、标准大气压、静息状态、呼吸空气条件 下，动脉血氧分压（Pa0，）＜60mmllg，伴或不伴二氧化碳分压（PaCO，）>50mmlig。单 纯的 PaO，<60mmHlg 为1型呼吸衰竭；若伴 PaCO，>50mmllg，则为I型呼吸衰竭。
A1-7,A1,7,,,诊断】型时吸使鍋的血气益新标准应建茶原翅平章一業,pH <7.35,动脉血氧含量（SaO）低于20%,动脉血氧分压（PaO，）低于60mmHg,动脉血二氧化碳分压（PaCO.）高于50mmHlg,动脉血氧饱和度（SaPO2）低于90%,,P2,,
A1-8,A1,8,,,I型呼吸衰竭为保持呼吸道通畅，维持呼吸最主要措施是 Iin0OS,氧气吸入,消除积痰,给呼吸兴奋药,给抗生素,纠正酸中毒,B,P2,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",发生I型呼吸衰竭时，为保持呼吸道通畅，首先清除滞留在口咽部的分泌 物、呕吐物。
A1-9,A1,9,,,呼吸衰竭时缺氧与二氧化碳潴留的最主要发病原理是,通气/血流比值失调,弥散功能障碍,肺泡通气量不足,氧耗量增加,肺内动静脉分流增加,C,P2,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",发生呼吸衰竭时，缺氧和二氧化碳猪留的发生机制为通气不足。在静息时 呼吸空气，总肺泡通气量约为4L/mnin 才能维持正常的肺泡氧和二氧化碳分压。
A1-10,A1,10,,,关于慢性呼吸衰竭的患者，下列处理不利于呼吸道通畅的是,给予糖皮质激素,采用快速利尿药,口服或雾化祛痰剂,痰液黏稠者补液,为无力排痰者翻身拍背,B,P2,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",慢性呼吸衰竭患者在氧疗和改善通气之前，必须使呼吸道保持通畅。处 第一篇内科护理学 理方法如下：①用多孔导管将分泌物或胃内反流物吸出。②痰黏稠不易咳出，用澳已新喷雾 吸人。③注入生理盐水稀释分泌物。④用支气管解痉剂扩张支气管。⑤给予肾上腺皮质激素 吸人，缓解支气管痉挛。⑥纤维支气管镜吸出分泌物。⑦经鼻气管插管或气管切开，建立人 工气道。大量应用利尿药可使痰液黏稠，气道阻力增加，不利于呼吸道通畅，所以选项B 错误。慢性呼吸衰竭处理的原则是保持呼吸道通畅条件下，改善缺 0，和纠正CO，猪留，以 及代谢功能紊乱。
