question_id,question_type,question_number,group,shared_stem,question,option_A,option_B,option_C,option_D,option_E,answer,question_source,answer_source,explanation
A1-1,A1,1,,,主动脉瓣关闭不全可致,缓脉,水冲脉,奇脉,交替脉 昂,脉搏短绌,B,P1,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",主动脉瓣关闭不全因脉压增大，出现周围血管征，包括水冲脉、随心脏搏 动的点头征、毛细血管搏动征、股动脉枪击音等。
A1-2,A1,2,,,预防阵发性夜间呼吸困难发作，最主要的护理措施是,注意保暖,睡前给小量镇静药,夜间继续吸氧,夜间睡眠应保持半卧位,保持安静，减少声光刺激,D,P1,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",预防阵发性夜间呼吸困难发作，最主要的护理措施是夜间睡眠应保持半卧 位。阵发性夜间呼吸困难：常发生在夜间，于睡眠中突然因憋气而惊醒，并被迫坐起，呼吸 深快，重者可有哮鸣音，称为“心源性哮喘” ’，重症者可发展成急性肺水肿。
A1-3,A1,3,,,下列有关心悸的叙述错误的是,心悸常使患者感到不安,心悸的出现表明心脏有器质性病变,各种心律失常也可以使患者感到心悸,贫血、高热的患者可出现心悸,心悸是指患者自觉心悸并伴有心前区不适感,B,P1,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心悸是指患者自觉心悸伴心前区不适感。常见的病因有心律失常（如心动 过速、心动过缓、期前收缩等），心脏搏动增强，如各种器质性心血管疾病（如二尖瓣、主 动脉瓣关闭不全等）及全身性疾病（如甲状腺功能亢进症、贫血、低热、低血糖反应），心 血管神经症等。
A1-4,A1,4,,,心脏传导系统中自律性最高的是,房室结,结间束,房室束,窦房结,浦肯野细胞,D,P1,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心脏传导系统包括窦房结、结间束、房室结、房氏束、左右束支、浦肯野 纤维。心脏传导系统的功能是发生冲动并传导到心脏各部，使心房肌和心室肌按一定节律性 收缩。心脏传导系统的细胞均能发出冲动，但以窦房结的自律性最高，成为正常人心脏的起 搏点。
A1-5,A1,5,,,由于心排血量突然下降出现的晕厥称为,心搏骤停,阿-斯综合征,脑卒中,低血糖综合征,急性心肌梗死,B,P1,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",晕厥是指暂时性广泛脑组织缺血、缺氧引起的急剧而短暂的可逆性意识丧 失。一般脑血流中断2~4秒即可产生黑矇；中断5~10 秒可出现意识丧失，超过10秒则除 意识丧失外，尚可出现抽搐。这类由于心排血量突然下降而产生的晕厥称阿-斯综合征。
A1-6,A1,6,,,电复律治疗，术后护理不恰当的是,持续24小时心电监护,按时服用抗心律失常药,常规低流量吸氧,禁食至清醒后2小时,术后应立即下床活动 冠心 病3 —29-,E,P1,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",患者应绝对卧床休息24小时，清醒后2小时内避免进食，以免引起恶心、呕吐，遵医嘱继续服用抗心律失常的药物，并持续心电监测24小时。
A1-7,A1,7,,,心源性水肿的特点是,面部水肿明显,踝部水肿明显,腹部水肿明显,腰背部水肿明显,水肿以足部、眼睑水肿明显,B,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心源性水肿的特点为从身体下垂部位开始，以踝内侧、胫前部明显，可呈 凹陷性，逐渐延及全身，久病卧床者出现背部、骶尾部及会阴部水肿。
A1-8,A1,8,,,引起心前区疼痛最常见原因是,心血管神经官能症,急性心包炎,胸膜炎,心绞痛、急性心肌梗死,心律失常,D,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心前区疼痛：因各种理化因素刺激了支配心脏、主动脉或肋间神经的传入 纤维，引起心前区或胸骨后疼痛。心绞痛、心肌梗死是引起心前区疼痛最常见的原因。
A1-9,A1,9,,,关于冠心病患者保持大便通畅的叙述，错误的是,用力排便可诱发严重心律失常,饮食中需增加粗纤维食物,卧床会使肠蠕动减慢,用力排便可诱发和加重心力衰竭,便秘时采用大量不保留灌肠以导泻,E,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",大量不保留灌肠是将 500~1000ml溶液通过肛管，由肛门经直肠灌入结肠， 刺激肠蟎动，清除肠腔粪便和积气，其目的是解除便秘、清洁肠道、稀释和清除肠道内的有 害物质、降温等。冠心病（尤其是心肌梗死）是中老年人常见病，急性期一般都要求患者 —52- 第二章 循环系统疾病患者的护理 卧床休息，却更加剧了便秘。若用力排便，易加重病情，造成心律失常！心力衰竭、心绞痛 甚至弹死等不良后果。为了解除患者的痛苦，采用大量肥皂水不保留灌肠，患者往往不能耐 受，且排完1次便后，大便干燥还需灌肠，易形成治疗措施与卧床休息之间的矛盾。
A1-10,A1,10,,,急性心肌梗死24小时内的主要死亡原因为,室壁瘤,心律失常,心源性休克,心力衰竭,心脏破裂,B,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",急性心肌梗死有75%~95%的患者发生心律失常，是急性心肌梗死患者死 亡的主要原因。
A1-11,A1,11,,,急性心肌梗死患者入院后第1周绝对卧床的目的是,增加安全感,任何患者均应如此,避免血压下降,避免增加心脏负担,避免体力消耗过多,D,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",本题实际考查了急性心肌梗死患者在急性期绝对卧床休息的目的。绝对 卧床休息是治疗心肌梗死的重要一环，在发病的急性期内患者应绝对卧床休息，以减轻心脏 负荷，减少耗氧量，防止病情加重。一切日常生活均由护士协助完成（如洁面、刷牙、进 食、排便、翻身等）。
A1-12,A1,12,,,某男性冠心病患者，日常活动时即感心悸、气急，应指导其,限制活动，多卧床休息,绝对卧床休息,照常活动，增加午休,活动不受限制,起床稍微活动，增加间歇休息,E,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",该患者日常活动后出现心悸、气急，按心功能分级属于心功能I级，其 休息应充分，限制体力活动，可增加午睡及夜间睡眠时间。
A1-13,A1,13,,,关于急性心肌梗死患者的处理原则，下列哪项不妥,心电监护,扩容升压,抗凝治疗,减轻疼痛,消除恶性心律失常,B,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",此题考查心梗的处理原则。急性心梗患者应绝对卧床休息，采取心电监 护，注意观察患者的心电图，及时发现并消除危险的心律失常。对于患者首要症状疼痛，应 给予吗啡肌内注射以减轻疼痛。心梗发病时间不足6小时，具有溶栓指征的患者可以采用溶 栓和抗凝治疗。心梗疼痛时可有血压的下降，如果疼痛消除后收缩压仍然低于80mmHg，才 可能是发生了心源性休克，否则不必急于扩容升压。
A1-14,A1,14,,,冠心病最常见的病因是,冠脉痉挛,冠状动脉粥样硬化,肥厚型心肌病,重度主动脉瓣病变,冠状动脉栓塞,B,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",冠状动脉粥样硬化性心脏病是冠状动脉粥样硬化后造成管腔狭窄、阻塞 和/或冠状动脉功能性痉挛，导致心肌缺血、缺氧引起的心脏病，简称冠心病，又称缺血性 心脏病，是动脉硬化引起器官病变的最常见类型。
A1-15,A1,15,,,心绞痛发作的首要护理措施是,建立静脉通路,立即描记心电图 —30 |,,,,E,P2,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心绞痛发作时立刻休息，一般在停止活动后3~5分钟症状即可消失，同 时舌下含服硝酸甘油。
A1-16,A1,16,,,急性心肌梗死患者最早出现、最突出的症状是,疼痛,心源性休克,胃肠道症状,心律失常,心力衰竭,A,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",疼痛为最早、最突出的症状，其性质和部位与心绞痛相似，但程度更剧 烈，伴烦躁、大汗、濒死感。一般无明显的诱因，疼痛可持续数小时或数天，经休息和含服 硝酸甘油无效。
A1-17,A1,17,,,能明确心绞痛患者缺血心肌的部位和范围的检查是,心电图,心脏M超声,动态心电图,选择性冠状动脉造影,放射性核素心肌显影,D,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",选择性冠状动脉造影可使左、右冠状动脉及其主要分支得到清晰的显影， 发现各支动脉狭窄性病变的部位并估计其程度。
A1-18,A1,18,,,典型心绞痛发作的疼痛部位在,心尖区且向左上肢放射,胸骨后且向左上肢前区内侧放射二,剑突附近向左上肢前外放射,心前区且向上胸放射,胸骨上段且向左肩背部放射,B,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心绞痛疼痛部位：胸骨体中上段、胸骨后可波及心前区，甚至整个前胸， 边界表达不清。可放射至左肩、左臂内侧，甚至可达左手环指和小指，也可向上放射可至 颈、咽部和下颌部，也可放射至上腹部甚至下腹部。
A1-19,A1,19,,,缓解急性心肌梗死时的疼痛宜用,休息和吸氧,硝酸异山梨酯,硝酸甘油,亚硝酸异戊酯,哌替啶,E,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",急性心肌梗死解除疼痛，可用哌替啶 50~100mg 肌内注射或吗啡2~4mg 静脉滴注，必要时5~10分钟可重复使用1次，以后每4~6小时重复使用，用药期间要注意 防止呼吸抑制。疼痛轻的患者可应用可待因或罂粟碱30~60mg肌内注射或口服，也可用硝 酸甘油静脉滴注，但需注意心率、血压变化，防止心率增快、血压下降。
A1-20,A1,20,,,急性心肌梗死的正确护理措施是,绝对卧床休息,高蛋白高脂肪饮食,不必减少或停止探视,出现心前区疼痛可以不处理,预防压疮每2小时翻身1次,A,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",急性心肌梗死急性期绝对卧床，减少心肌氧耗，避免诱因；保持安静， 第一篇内科护理学口 限制探视避免不良刺激，保证睡眠；低脂、低胆固醇清淡饮食，遵照医嘱给予吗啡。哌替啶 镇痛。
A1-21,A1,21,,,急性心肌梗死与心绞痛的疼痛主要区别是,心肌梗死疼痛程度重，持续30分钟以上,心绞痛疼痛重，持续30分钟以上,疼痛的部位不同,疼痛的性质不同,疼痛的诱因不同,A,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",急性心肌梗死与心绞痛的疼痛主要区别是心肌梗死疼痛程度重，持续 30 分钟以上。
A1-22,A1,22,,,典型心绞痛疼痛的性质是,绞痛,刺痛,隐痛,刀割样痛,压榨性痛,E,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心绞痛疼痛性质：常为压迫感、发闷、紧缩感，也可为烧灼感，偶可伴 濒死、恐惧感。患者可因疼痛而被迫停止原来的活动，直至症状缓解。
