question_id,question_type,question_number,question,question_source,reason
A1-32,A1,32,发生急性心肌梗死的病理基础是,P5,"题号可能OCR错误: 题目为32, 相近题号有[30, 31, 33, 34]"
A1-39,A1,39,下列哪项不属于高血压急症,P6,"题号可能OCR错误: 题目为39, 相近题号有[37, 38, 40, 41]"
A2-7,A2,7,患者，男性，52岁。近1个月劳累时感心前区疼痛，诊断为冠心病、心绞痛。患者吸烟 30年，每日30支，平日伙食不规律，喜饮白酒和浓茶，化验检查发现甘油兰酯增高。责 任护士向该患者进行健康教育的内容中，下,P10,"题号可能OCR错误: 题目为7, 相近题号有[5, 6, 8, 9]"
A2-15,A2,15,分钟，发作时心电图I、皿、aVF导联 ST段抬高。最可能的诊断男,P10,"题号可能OCR错误: 题目为15, 相近题号有[13, 14, 16]"
A2-15,A2,15,患者，女性，26岁。体检时发现心电图偶发室性期前收缩，心界无扩太，心率80次/分， 期前收缩0~3次/分，心音正常，无杂音。治疗应选用,P12,"题号可能OCR错误: 题目为15, 相近题号有[13, 14, 16]"
B-8,B,8,阿司匹林用于心绞痛缓解期治疗的作用原理是 （9~10 题共用备选答案）,P17,"题号可能OCR错误: 题目为8, 相近题号有[6, 7, 9, 10]"
B-11,B,11,心肺复苏后脑缺氧应,P18,"题号可能OCR错误: 题目为11, 相近题号有[9, 10, 13]"
B-12,B,12,心肺复苏后循环功能不足应,P18,"题号可能OCR错误: 题目为12, 相近题号有[10, 13, 14]"
X-18,X,18,下列可以减轻慢性心力衰竭患者的心脏负担的治疗措施有,P21,"题号可能OCR错误: 题目为18, 相近题号有[16, 17, 19, 20]"
X-25,X,25,下面哪些心血管病患者需要绝对卧床休息,P21,"题号可能OCR错误: 题目为25, 相近题号有[23, 24]"
